Title,Date,Member,StartTime,EndTime,Revenue
A-SOUL小剧场 三十期 一起快乐的过中秋吧！！！,2021/09/21,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
A-SOUL小剧场 三十一期 加油！一个魂！,2021/09/24,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
A-SOUL夜谈 二十四期 一个魂！机会来啦！,2021/09/25,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
A-SOUL游戏室 十八期 快拉我一把吖！,2021/09/26,"向晚, 嘉然, 珈乐, 贝拉",2021-09-26 19:50:07,2021-09-26 22:07:42,59173.7
向晚 收获的季节！！弹点棉花吧！！,2021/09/29,向晚,,,
贝拉 贝拉带你环游世界~,2021/09/30,贝拉,,,
A-SOUL游戏室 十九期 一起来手工世界探险吧！,2021/10/04,"向晚, 嘉然, 贝拉",2021-10-04 19:50:14,2021-10-04 22:10:46,28369.9
A-SOUL小剧场 三十二期 A-SOUL出行计划,2021/10/05,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2021-10-05 19:51:25,2021-10-05 22:19:30,25664.7
A-SOUL夜谈 二十五期 假期的那些事,2021/10/06,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
A-SOUL游戏室 二十期 打游戏也要动！起！来！,2021/10/07,"乃琳, 向晚, 嘉然, 贝拉",,,
珈乐 《我的小狼》,2021/10/13,珈乐,,,
乃琳 《寻找与发现——感受神秘的麻雅》,2021/10/13,乃琳,2021-10-13 21:00:29,2021-10-13 22:13:28,19890.4
向晚 好歌就只能唱一次嘛？！,2021/10/13,向晚,,,
嘉然 陪然然在海底玩吧,2021/10/14,嘉然,2021-10-14 19:51:43,2021-10-14 21:38:13,50483.8
贝拉 我贝拉不做人啦！！,2021/10/14,贝拉,,,
A-SOUL小剧场 三十三期 来看看偶像女团的默契吧！,2021/10/16,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
抖音奇妙日,2021/10/16,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
A-SOUL夜谈 二十六期 枝江学生会,2021/10/17,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2021-10-17 19:50:07,2021-10-17 22:07:22,22465.1
向晚 火辣小向晚,2021/10/20,向晚,,,
乃琳 甜酷小乃琳~,2021/10/20,乃琳,2021-10-20 21:00:38,2021-10-20 22:10:44,26053.3
珈乐 奶盐小狼王,2021/10/20,珈乐,,,
贝拉 贝拉的练习TIME~,2021/10/21,贝拉,,,
嘉然 “营养这块儿然然来给你们补”,2021/10/21,嘉然,2021-10-21 19:50:42,2021-10-21 21:36:22,28808.6
A-SOUL小剧场 三十四期 A-SOUL体测报告,2021/10/22,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
A-SOUL夜谈 二十七期 一日工具人体验！,2021/10/23,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2021-10-23 19:50:52,2021-10-23 22:04:40,13149.1
A-SOUL游戏室 二十一期 快来！快来救一下！,2021/10/24,"乃琳, 向晚, 嘉然",2021-10-24 19:50:55,2021-10-24 22:15:17,14574.2
贝拉 贝奥纳多·达·拉·芬奇,2021/10/27,贝拉,,,
向晚 To 珈乐！绝对快乐的日程表！,2021/10/27,"向晚, 珈乐",,,
嘉然 乃琳 只知道11.2小狼公主生日会~,2021/10/28,"乃琳, 嘉然",2021-10-28 19:50:32,2021-10-28 21:51:15,11190.2
A-SOUL小剧场 三十五期 惊喜之夜,2021/10/29,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
A-SOUL游戏室 二十二期 腿！长！一！米！八！,2021/10/30,"乃琳, 向晚, 嘉然",2021-10-30 19:52:24,2021-10-30 22:09:53,16151.6
珈乐 珈乐生日会,2021/11/02,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
乃琳 你才是小动物！！—乃琳到底像什么,2021/11/03,乃琳,2021-11-03 21:00:30,2021-11-03 22:13:29,14339.3
贝拉 经典重现！！！,2021/11/03,贝拉,,,
向晚 花海！我学会啦！,2021/11/03,向晚,,,
珈乐 耗费24h寻找生贺只为夺走你的心,2021/11/04,珈乐,,,
嘉然 绝不摆烂~小然比,2021/11/04,嘉然,2021-11-04 19:50:26,2021-11-04 21:42:29,46979.2
【A-SOULx欧莱雅男士】阿草变身作战,2021/11/05,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
A-SOUL夜谈 二十八期 一个魂儿的暖冬指南！,2021/11/06,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2021-11-06 19:50:45,2021-11-06 22:11:49,12551.1
欧莱雅联动 欧来欧来，欧气自来～,2021/11/09,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
珈乐 如果那个视频被抽到的话,2021/11/10,珈乐,,,
向晚 不行！要专注！专心致志挑战！练舞,2021/11/10,向晚,,,
乃琳 来了来了我来画画啦~,2021/11/10,乃琳,2021-11-10 21:00:34,2021-11-10 22:09:07,14681.4
贝拉 你绝对听过的！！！,2021/11/11,贝拉,,,
嘉然 你们最甜甜甜的XX来讲故事啦~,2021/11/11,嘉然,2021-11-11 19:51:13,2021-11-11 21:36:08,20080.8
A-SOUL夜谈 二十九期 假如真有后悔药…,2021/11/12,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
A-SOUL小剧场 三十六期 枝江零元购！,2021/11/13,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2021-11-13 19:51:31,2021-11-13 22:06:33,11893.2
A-SOUL游戏室 二十三期 怀旧游戏回,2021/11/14,"乃琳, 向晚, 嘉然",2021-11-14 19:50:12,2021-11-14 22:16:29,10854.2
珈乐 小狼水吧,2021/11/17,珈乐,,,
向晚 快来围观粉丝评论区耶！！！,2021/11/17,向晚,,,
嘉然 心 跳 加 速 ！！！,2021/11/18,嘉然,2021-11-18 19:54:09,2021-11-18 21:40:07,22924.9
贝拉 乃琳 坑到对方就算赢！！！,2021/11/18,"乃琳, 贝拉",,,
A-SOUL夜谈 三十期 A-SOUL今天玩什么,2021/11/19,"乃琳, 向晚, 嘉然, 贝拉",2021-11-19 19:50:23,2021-11-19 22:13:29,10760.3
A-SOUL小剧场 三十七期 今天你说了算！！！,2021/11/20,"乃琳, 向晚, 嘉然, 贝拉",,,
乃琳 来一局紧张刺激的飞行棋嘛～,2021/11/24,乃琳,2021-11-24 21:00:11,2021-11-24 22:13:41,65835.7
珈乐 猜歌名3.0,2021/11/24,珈乐,,,
嘉然 向晚 出 道 啦！！！,2021/11/25,"向晚, 嘉然",2021-11-25 19:50:44,2021-11-25 21:39:04,52752.6
贝拉 贝极星进来听彩虹屁！！！,2021/11/25,贝拉,,,
A-SOUL夜谈 三十一期 A-SOUL初印象,2021/11/26,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
A-SOUL小剧场 三十八期 欢迎收看枝江卫视,2021/11/27,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
A-SOUL游戏室 二十四期  枝江运动会,2021/11/28,"向晚, 嘉然, 珈乐",2021-11-28 19:53:54,2021-11-28 22:09:06,8071.4
向晚 今天聊点啥！！！,2021/12/01,向晚,,,
珈乐 一把把上次妹画的画完,2021/12/01,珈乐,,,
乃琳 小狐琳在等你一起雪夜杂谈～,2021/12/01,乃琳,2021-12-01 21:00:04,2021-12-01 22:09:50,26716.9
嘉然 嘉然七天打卡挑战,2021/12/02,嘉然,2021-12-02 19:51:52,2021-12-02 21:38:44,25865.0
贝拉 那些你想听贝拉再唱一次的歌,2021/12/02,贝拉,,,
A-SOULx花亦山心之月合作直播,2021/12/03,"乃琳, 嘉然",2021-12-03 19:50:10,2021-12-03 21:16:11,11661.0
A-SOUL小剧场 三十九期 枝江学园主持人大赛,2021/12/04,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2021-12-04 19:50:47,2021-12-04 22:16:54,26448.8
向晚 珈乐 “冷裤子”的不被钓挑战！,2021/12/08,"向晚, 珈乐",,,
嘉然 贝拉 乃琳 和然然姐姐去唱歌！！！,2021/12/08,"乃琳, 嘉然, 贝拉",2021-12-08 19:50:12,2021-12-08 20:55:04,8590.5
【A-SOUL】周年特别直播,2021/12/11,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2021-12-11 19:53:03,2021-12-11 23:16:31,768311.0
乃琳 上天啦！来聊天啊！,2021/12/15,乃琳,2021-12-15 19:50:09,2021-12-15 20:56:57,47589.4
珈乐 小狼水吧.2,2021/12/15,珈乐,,,
嘉然 小嘉然系列,2021/12/16,嘉然,2021-12-16 19:51:00,2021-12-16 21:39:26,30948.1
贝拉 幕后大揭秘1.0,2021/12/16,贝拉,,,
A-SOUL夜谈 三十二期 我们穿越啦,2021/12/17,"乃琳, 嘉然, 珈乐, 贝拉",,,
A-SOUL小剧场 四十期 哈哈哈哈歌舞会,2021/12/18,"乃琳, 嘉然, 珈乐, 贝拉",,,
A-SOUL游戏室 二十五期 《纸人》古宅的奇妙冒险,2021/12/19,"嘉然, 珈乐, 贝拉",2021-12-19 19:51:08,2021-12-19 22:05:17,11927.1
乃琳 ______，在水一方~,2021/12/22,乃琳,2021-12-22 19:50:13,2021-12-22 21:01:28,75590.0
珈乐 二次元小姐姐陪你聊天,2021/12/22,珈乐,,,
嘉然 小嘉然系列0.5,2021/12/23,嘉然,2021-12-23 19:51:08,2021-12-23 21:38:35,29485.0
贝拉 梦开始的地方,2021/12/23,贝拉,,,
A-SOUL夜谈 三十三期 危险！危险！危险！,2021/12/24,"嘉然, 珈乐, 贝拉",2021-12-24 19:50:51,2021-12-24 21:44:50,23638.7
A-SOUL小剧场 四十一期 圣诞节！开礼物喽！,2021/12/25,"乃琳, 嘉然, 珈乐, 贝拉",,,
A-SOUL游戏室 二十六期 枝江“嚎”声音,2021/12/26,"嘉然, 珈乐, 贝拉",,,
向晚 今晚开启向晚宇宙吧！！,2021/12/29,向晚,,,
嘉然 饭缸·毕嘉然·哒哒哒,2021/12/30,嘉然,2021-12-30 19:55:23,2021-12-30 21:37:39,23115.5
贝拉 大挑战！超速解密《纸嫁衣》！,2021/12/30,贝拉,,,
跨年回 2022好运爆棚,2021/12/31,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
乃琳50万粉纪念回,2022/01/02,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2022-01-02 19:50:18,2022-01-02 22:19:19,190462.9
珈乐 【3_24】,2022/01/05,珈乐,,,
乃琳 您的一周年礼物到啦！点击查收~,2022/01/05,乃琳,2022-01-05 21:03:29,2022-01-05 22:09:00,7655.5
向晚 我发向晚！！大家来打分！！,2022/01/05,向晚,,,
嘉然 然然评论区有什么？2.0,2022/01/06,嘉然,2022-01-06 19:51:38,2022-01-06 21:50:10,23380.5
A-SOUL游戏室 二十七期 三个勇者的《纸人》古宅大冒险2,2022/01/07,"向晚, 嘉然, 珈乐",2022-01-07 19:52:33,2022-01-07 22:06:30,7243.0
A-SOUL夜谈 三十四期 快来抱团取暖吧！,2022/01/09,"乃琳, 向晚, 嘉然",,,
珈乐 小狼水吧-拉乐摆,2022/01/12,"珈乐, 贝拉",,,
向晚 一起来花↑海→ 不要笑哦！！,2022/01/12,"乃琳, 向晚",,,
嘉然百万粉纪念直播,2022/01/15,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2022-01-15 19:50:05,2022-01-15 23:13:49,235267.4
向晚 走！一起去抓水母啊！！,2022/01/19,向晚,,,
乃琳 ＿＿＿＿皆是因,2022/01/19,乃琳,2022-01-19 21:00:18,2022-01-19 22:15:07,24652.6
珈乐 兄弟の自習室,2022/01/19,珈乐,,,
嘉然 #和嘉心糖一起画#,2022/01/20,嘉然,2022-01-20 19:52:45,2022-01-20 21:39:05,27758.2
贝拉 幕后大揭秘2.0,2022/01/20,贝拉,,,
A-SOUL夜谈 三十五期 枝江大讲堂,2022/01/21,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
A-SOUL小剧场 四十二期 尬魂发布会,2022/01/22,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
A-SOUL游戏室 二十八期 灵能小队出击！,2022/01/23,"乃琳, 向晚, 嘉然",2022-01-23 19:50:14,2022-01-23 22:10:39,7922.6
向晚 独家经验！过年时让你大放光彩！,2022/01/26,向晚,,,
乃琳 小！年！夜！快！乐！！！,2022/01/26,乃琳,2022-01-26 21:01:58,2022-01-26 22:13:25,14760.6
珈乐 【小狼温泉】,2022/01/26,珈乐,,,
嘉然 新年好！过年好！牙好胃好身体好！,2022/01/27,嘉然,2022-01-27 20:07:29,2022-01-27 21:49:15,6436.9
贝拉 贝女侠的自救秘籍之过年篇,2022/01/27,贝拉,,,
A-SOUL小剧场 四十四期 燃烧吧 A-SOUL,2022/01/29,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2022-01-29 19:50:11,2022-01-29 22:16:14,23923.1
A-SOUL夜谈 三十六期 新年新愿望,2022/02/03,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2022-02-03 19:50:21,2022-02-03 22:11:52,36726.0
A-SOUL小剧场 四十五期 枝江春节联欢晚会,2022/02/04,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2022-02-04 19:50:26,2022-02-04 22:11:02,34048.3
嘉然x夸克推广直播 过年回家生存调查,2022/02/05,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2022-02-05 19:50:08,2022-02-05 21:34:43,16320.2
A-SOUL游戏室 二十九期 一个魂！跟我们去取经.！,2022/02/06,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
华硕天选新品发布会,2022/02/11,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
和你一起过情人节~,2022/02/14,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2022-02-14 19:51:16,2022-02-14 23:08:21,20915.1
乃琳 迟来一天的元宵节快乐~,2022/02/16,乃琳,2022-02-16 21:00:08,2022-02-16 22:09:10,46791.3
向晚 冬天也要喝冰阔落！！,2022/02/16,向晚,,,
珈乐 我发代餐你来打分,2022/02/16,珈乐,,,
贝拉 哭哭~深度解密《纸嫁衣》~,2022/02/17,贝拉,,,
嘉然 嘉然把嘉心糖藏起来啦！,2022/02/17,嘉然,2022-02-17 19:51:30,2022-02-17 21:46:59,48065
A-SOUL夜谈 三十七期 七天推荐A-SOUL大挑战,2022/02/18,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
A-SOUL小剧场 四十六期 枝江追梦人,2022/02/19,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
A-SOUL游戏室 三十期 你的好友已下线,2022/02/20,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2022-02-20 19:50:20,2022-02-20 22:44:51,21734.4
珈乐 拼搏百天 我要上,2022/02/23,珈乐,,,
乃琳 手可摘星辰~,2022/02/23,乃琳,2022-02-23 19:51:13,2022-02-23 20:56:15,29929.9
嘉然 向晚 谁 是 Gamer_,2022/02/24,"向晚, 嘉然",2022-02-24 19:51:02,2022-02-24 22:12:30,15112.7
贝拉50万纪念回,2022/02/26,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
A-SOUL游戏室 三十一期 三个小坏蛋,2022/02/27,"乃琳, 向晚, 珈乐",,,
乃琳 我绝不可能离开凳子！！！,2022/03/02,乃琳,2022-03-02 21:01:03,2022-03-02 22:15:18,23364.7
向晚 乐乐！！！晚几来啰！！,2022/03/02,向晚,,,
珈乐 乐乐今天晚什么？,2022/03/02,珈乐,,,
贝拉 和贝极星沙滩漫步~,2022/03/03,贝拉,,,
嘉然生日会 小恶魔生日会来喽！,2022/03/06,"乃琳, 向晚, 嘉然, 贝拉",2022-03-06 19:51:24,2022-03-06 22:37:51,1613176.0
珈乐 狼狼上口,2022/03/09,珈乐,,,
乃琳 狐狐生威,2022/03/09,乃琳,2022-03-09 21:00:50,2022-03-09 22:11:26,15059.3
向晚 羊羊得意,2022/03/09,向晚,,,
贝拉 关注贝推，拥有健康身心~,2022/03/10,贝拉,,,
嘉然 和嘉心糖们一起过的第二个生日,2022/03/10,嘉然,2022-03-10 19:50:32,2022-03-10 21:38:02,13549.2
A-SOUL夜谈 三十八期 A-SOUL夸夸大会,2022/03/11,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2022-03-11 19:50:09,2022-03-11 22:07:56,19560.5
A-SOUL小剧场 四十七期 练习室开放日！,2022/03/12,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
乃琳 掉凳师傅乃琳,2022/03/16,乃琳,2022-03-16 21:00:49,2022-03-16 22:04:58,22536.2
珈乐 摆珈讲堂,2022/03/16,珈乐,,,
向晚 修琴师傅向晚,2022/03/16,向晚,,,
A-SOUL夜谈 三十九期 一起来更新A-SOUL百科,2022/03/18,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
A-SOUL小剧场 四十八期 枝江一千零一夜,2022/03/19,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
A-SOUL游戏室 三十二期 第一届枝江gamer争霸赛！,2022/03/20,"乃琳, 向晚, 嘉然, 贝拉",2022-03-20 19:51:11,2022-03-20 22:09:23,11335.7
贝拉 乃琳 双人成行 单人不行,2022/03/23,"乃琳, 贝拉",,,
向晚 是谁在觊觎枝江GAMER!,2022/03/23,向晚,,,
珈乐 重生之霸总王乐爱上我,2022/03/23,珈乐,,,
嘉然 然比玩游戏，嘉心糖们来抽卡！,2022/03/24,嘉然,2022-03-24 19:50:37,2022-03-24 21:37:25,19449.9
A-SOUL夜谈 第四十期 枝江文学大会,2022/03/25,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2022-03-25 19:50:35,2022-03-25 22:14:51,8887.2
A-SOUL小剧场 四十九期 一个魂，请指导我们！,2022/03/26,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2022-03-26 19:50:17,2022-03-26 22:15:22,37314.0
嘉然 复刻王嘉然,2022/03/27,嘉然,2022-03-27 19:50:18,2022-03-27 21:36:36,14317.8
贝拉 春天的歌应该这么听～,2022/03/27,贝拉,,,
乃琳 听说有狐琳在树下唱歌诶~,2022/03/30,乃琳,2022-03-30 19:50:18,2022-03-30 21:11:20,32127.2
贝拉 舞蹈练习室直拍公开忘记是几.0,2022/03/31,贝拉,,,
嘉然 珈乐 和小然小狼一起春游,2022/03/31,"嘉然, 珈乐",2022-03-31 19:53:14,2022-03-31 21:41:16,9854.2
向晚50万纪念回,2022/04/02,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
A-SOUL游戏室 三十三期 嘿嘿！入职A-SOUL！,2022/04/03,"乃琳, 嘉然, 珈乐",2022-04-03 19:52:19,2022-04-03 22:05:32,8996.2
贝拉 贝拉歌单大揭秘！,2022/04/06,贝拉,,,
乃琳 嘘——偷偷跟你讲——,2022/04/07,乃琳,2022-04-07 21:33:45,2022-04-07 22:42:02,30185.4
珈乐 【如果我播游戏你会爱我吗】,2022/04/07,珈乐,,,
向晚 给顶碗人的贺卡来喽,2022/04/07,向晚,,,
A-SOUL夜谈 四十一期 这是可以说的吗？,2022/04/08,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2022-04-08 19:50:41,2022-04-08 22:09:42,9714.5
A-SOUL小剧场 五十期 枝江年代秀,2022/04/09,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
A-SOUL游戏室 第三十四期 双人很行,2022/04/10,"乃琳, 贝拉",,,
贝拉 枝江新闻发布会（严肃）,2022/04/13,贝拉,,,
嘉然 哎呀——脑袋掉了！,2022/04/13,嘉然,2022-04-13 19:49:55,2022-04-13 21:39:06,7152.6
珈乐 洳婼嬡 埥堔嬡,2022/04/14,珈乐,,,
向晚 春眠…Zzzzz,2022/04/14,向晚,,,
乃琳 诶嘿！乃琳来喽！！,2022/04/14,乃琳,2022-04-14 21:00:15,2022-04-14 22:11:53,14481.8
A-SOUL夜谈 四十二期 A-SOUL大搜查,2022/04/15,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
A-SOUL小剧场 第五十一期 A-SOUL劝学大会,2022/04/16,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2022-04-16 19:50:22,2022-04-16 22:19:56,18374.3
A-SOUL游戏室 三十五期 玩个毛线,2022/04/17,"乃琳, 嘉然",2022-04-17 19:50:24,2022-04-17 22:05:03,6480.3
乃琳 珈乐 【三伏demo乃乐！】,2022/04/20,"乃琳, 珈乐",2022-04-20 19:08:07,2022-04-20 20:05:34,13191.7
奇妙女孩的知识茶话会,2022/04/21,贝拉,,,
A-SOUL夜谈 第四十三期 谁是枝江狠人？,2022/04/22,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2022-04-22 19:50:22,2022-04-22 22:13:45,15596.5
A-SOUL小剧场 五十二期 嗨爆星期六,2022/04/23,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
贝拉 今天《本草纲目》了吗？,2022/04/27,贝拉,,,
嘉然 嘉然今天吃什么,2022/04/27,嘉然,2022-04-27 19:50:33,2022-04-27 20:56:13,7288.3
珈乐 大哥追过的……,2022/04/28,珈乐,,,
乃琳 在！在忙嘛！,2022/04/28,乃琳,2022-04-28 21:10:20,2022-04-28 22:23:35,16525.0
向晚 兄弟们，歌单荒啦,2022/04/28,向晚,,,
A-SOUL夜谈 四十四期 A-SOUL辩论大会！,2022/04/29,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
A-SOUL游戏室 三十六期 萌萌大乱斗,2022/04/30,"乃琳, 向晚, 嘉然",,,
A-SOUL夜谈 四十五期 A-SOUL 请回答,2022/05/01,"乃琳, 向晚, 嘉然, 珈乐",,,
A-SOUL小剧场 五十三期 我还债！我光荣！,2022/05/02,"乃琳, 向晚, 嘉然, 珈乐",2022-05-02 19:50:23,2022-05-02 22:11:06,16065.2
A-SOUL小剧场 第五十四期 谁把羊村搞垮了,2022/05/07,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
A-SOUL夜谈 四十六期 真兄弟·大挑战,2022/05/08,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2022-05-08 19:50:05,2022-05-08 22:06:38,36790.7
